"ID","STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
144,"1",,rtw_st_sbp,rtw_s139_pak,rtw_panel_1_HOSPITAL,"75.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
145,"1",,rtw_st_sbp,rtw_s139_pak,rtw_panel_1_MAHARANI,"50.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
146,"1",,rtw_st_sbp,rtw_s140_pak,rtw_panel_1_HOSPITAL,"60.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
147,"1",,rtw_st_sbp,rtw_s140_pak,rtw_panel_1_MAHARANI,"50.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
148,"1",,rtw_st_sbp,rtw_s141_pak,rtw_panel_1_HOSPITAL,"60.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
149,"1",,rtw_st_sbp,rtw_s142_pak,rtw_panel_1_HOSPITAL,"40.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
150,"1",,rtw_st_sbp,rtw_s143_pak,rtw_panel_1_HOSPITAL,"65.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
151,"1",,rtw_st_sbp,rtw_s144_pak,rtw_panel_1_HOSPITAL,"65.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
152,"1",,rtw_st_sbp,rtw_s145_pak,rtw_panel_1_HOSPITAL,"65.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
153,"1",,rtw_st_sbp,rtw_s146_pak,rtw_panel_1_MAHARANI,"40.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
154,"1",,rtw_st_sbp,rtw_s151_pak,rtw_panel_1_MAHARANI,"55.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
155,"1",,rtw_st_sbp,rtw_s152_pak,rtw_panel_1_MAHARANI,"65.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
