"ID","SERVICE_TYPE","SERVICE","SERVICE_PLAN","IS_MILEAGE_APPLICABLE","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
60,rtw_st_ass,rtw_s60_sen,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
61,rtw_st_ass,rtw_s61_cli,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
62,rtw_st_ass,rtw_s62_vis,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
63,rtw_st_fun,rtw_s63_gen,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
64,rtw_st_fun,rtw_s64_bas,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
65,rtw_st_fun,rtw_s65_com,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
66,rtw_st_fun,rtw_s66_by,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
67,rtw_st_fun,rtw_s67_upp,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
68,rtw_st_fun,rtw_s68_tru,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
69,rtw_st_fun,rtw_s69_upp,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
70,rtw_st_fun,rtw_s70_neu,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
71,rtw_st_fun,rtw_s71_car,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
72,rtw_st_fun,rtw_s72_cog,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
73,rtw_st_adm,rtw_s73_fir,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
74,rtw_st_adm,rtw_s73_fir,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
75,rtw_st_adm,rtw_s74_fol,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
76,rtw_st_adm,rtw_s74_fol,"1",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
77,rtw_st_hos,rtw_s75_inp,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
78,rtw_st_dry,rtw_s76_dry,"3",,,,2021-01-21 06:16:35,2021-01-21 06:16:35
79,rtw_st_serv_by_mod,rtw_s77_the,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
80,rtw_st_serv_by_mod,rtw_s110_hyd,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
81,rtw_st_serv_by_mod,rtw_s79_ten,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
82,rtw_st_serv_by_mod,rtw_s80_cry,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
83,rtw_st_serv_by_mod,rtw_s81_ice,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
84,rtw_st_serv_by_mod,rtw_s82_par,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
85,rtw_st_serv_by_mod,rtw_s83_dum,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
86,rtw_st_serv_by_mod,rtw_s84_san,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
87,rtw_st_serv_by_mod,rtw_s85_gym,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
88,rtw_st_serv_by_mod,rtw_s86_pul,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
89,rtw_st_serv_by_mod,rtw_s87_wal,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
90,rtw_st_serv_by_mod,rtw_s88_par,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
91,rtw_st_serv_by_mod,rtw_s89_til,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
92,rtw_st_serv_by_mod,rtw_s90_pli,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
93,rtw_st_serv_by_mod,rtw_s91_exe,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
94,rtw_st_serv_by_mod,rtw_s92_sta,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
95,rtw_st_serv_by_mod,rtw_s93_mec,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
96,rtw_st_serv_by_mod,rtw_s94_sta,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
97,rtw_st_serv_by_mod,rtw_s95_adl,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
98,rtw_st_serv_by_mod,rtw_s96_fin,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
99,rtw_st_serv_by_mod,rtw_s97_spl,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
100,rtw_st_serv_by_mod,rtw_s98_pre,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
101,rtw_st_serv_by_mod,rtw_s99_the,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
102,rtw_st_serv_by_mod,rtw_s100_the,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
