"STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY"
10,,rtw_st_ass,rtw_s57_pro,rtw_panel_kela,250.0,,
10,,rtw_st_ass,rtw_s58_spe,rtw_panel_kela,250.0,,
10,,rtw_st_ass,rtw_s59_psy,rtw_panel_kela,250.0,,
10,,rtw_st_ass,rtw_s60_sen,rtw_panel_kela,80.0,,
10,,rtw_st_ass,rtw_s61_cli,rtw_panel_kela,100.0,,
10,,rtw_st_ass,rtw_s62_vis,rtw_panel_kela,120.0,,
10,,rtw_st_fun,rtw_s65_com,rtw_panel_kela,550.0,,z
10,,rtw_st_fun,rtw_s66_by ,rtw_panel_kela,200 - 500,,
10,,rtw_st_sbm,rtw_s105_bas,rtw_panel_kela,110.0,,
,6,rtw_st_phy,rtw_s1_phy,rtw_panel_dbc ,143.0,,
,6,rtw_st_ass,rtw_s49_gen,rtw_panel_dbc ,195.0,,
,6,rtw_st_fun,rtw_s64_bas,rtw_panel_dbc ,220.0,,
,6,rtw_st_phy,rtw_s1_phy,rtw_panel_dbc ,143.0,,
,6,rtw_st_ass,rtw_s49_gen,rtw_panel_dbc ,195.0,,
,6,rtw_st_fun,rtw_s64_bas,rtw_panel_dbc ,220.0,,
