"STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY"
10,,rtw_st_phy,rtw_s1_phy,rtw_panel_KELA,90.0,,
10,,rtw_st_phy,rtw_s11_hyd,rtw_panel_KELA,80.0,,
10,,rtw_st_occ,rtw_s25_occ,rtw_panel_KELA,90.0,,
10,,rtw_st_occ,rtw_s42_sen,rtw_panel_KELA,80.0,,
10,,rtw_st_spe,rtw_s43_spe,rtw_panel_KELA,150.0,,
10,,rtw_st_psy,rtw_s44_psy,rtw_panel_KELA,110.0,,
10,,rtw_st_con,rtw_s45_reh,rtw_panel_KELA,190.0,,
10,,rtw_st_con,rtw_s46_reh,rtw_panel_KELA,190.0,,
10,,rtw_st_con,rtw_s47_med,rtw_panel_KELA,50.0,,
10,,rtw_st_ass,rtw_s51_neu,rtw_panel_KELA,120.0,,
10,,rtw_st_ass,rtw_s52_cog,rtw_panel_KELA,160.0,,
10,,rtw_st_ass,rtw_s55_dri,rtw_panel_KELA,550.0,,
10,,rtw_st_ass,rtw_s57_pro,rtw_panel_KELA,250.0,,
10,,rtw_st_ass,rtw_s58_spe,rtw_panel_KELA,250.0,,
10,,rtw_st_ass,rtw_s59_psy,rtw_panel_KELA,250.0,,
10,,rtw_st_ass,rtw_s60_sen,rtw_panel_KELA,80.0,,
10,,rtw_st_ass,rtw_s61_cli,rtw_panel_KELA,100.0,,
10,,rtw_st_ass,rtw_s62_vis,rtw_panel_KELA,120.0,,
10,,rtw_st_fun,rtw_s65_com,rtw_panel_KELA,550.0,,
10,,rtw_st_fun,rtw_s66_by ,rtw_panel_KELA,200 - 500,,
10,,rtw_st_sbm,rtw_s105_bas,rtw_panel_KELA,110.0,,
,6,rtw_st_phy,rtw_s1_phy,rtw_panel_DBC ,143.0,,
,6,rtw_st_ass,rtw_s49_gen,rtw_panel_DBC ,195.0,,
,6,rtw_st_fun,rtw_s64_bas,rtw_panel_DBC ,220.0,,
